Begin,END,xmin,ymin,xmax,ymax,Xdiff,Ydiff,EPslewrmax,Epslewfmax,Epslewrmin,Epslewfmin,Epcapfmax,Epcapfmin,Epcaprmax,Epcaprmin,Spslewfmax,Spslewfmin,Spslewrmin,Spslewrmax,arrival max,arrival min,skew,GBA,PBA
m_mFW_reg_4__330_/QN,m_mZ_reg_7__37_/D,302.472,306.36,829.296,824.76,526.824,518.4,29.2,31.3,11.9,11.9,0.429,0.381,0.429,0.383,25.1,23,24.6,27.3,49.119,31.219,17.9,1528.319,1453.319
m_mFW_reg_15__125_/QN,m_mZ_reg_3__124_/D,115.2,1101.24,813.744,682.2,698.544,-419.04,39.8,40.2,13.9,13.8,0.429,0.381,0.429,0.383,60.1,58,69.9,72.7,55.219,33.319,21.9,1521.318,1448.219
m_mFW_reg_6__854_/QN,m_mZ_reg_15__59_/D,52.992,1034.28,762.984,656.28,709.992,-378,42.9,39.2,11.8,11.6,0.429,0.381,0.429,0.383,54.8,52.6,62.9,65.7,64.019,32.919,31.1,1530.919,1455.019
m_mFW_reg_0__270_/QN,m_mZ_reg_9__15_/D,395.568,324.72,835.776,734.04,440.208,409.32,26.9,28.3,9.7,10.2,0.429,0.381,0.429,0.383,25.8,23.7,25.5,28.1,55.319,16.919,38.4,1496.119,1438.019
count_val_reg_6_/QN,m_mZ_reg_16__121_/D,740.952,573.12,729.936,663.84,-11.016,90.72,29.6,31.9,12,11.8,0.429,0.381,0.429,0.383,25.1,22.8,24,27.4,52.919,31.319,21.6,1496.419,1514.619
m_mFW_reg_3__680_/QN,m_mZ_reg_9__38_/D,153.216,644.4,843.336,730.8,690.12,86.4,25.7,27.3,9.4,9.7,0.429,0.381,0.429,0.383,27.2,25.5,27.7,29.9,51.819,15.619,36.2,1541.9,1439.119
m_mFW_reg_7__350_/QN,m_mZ_reg_10__60_/D,317.376,737.28,821.52,716.76,504.144,-20.52,34,31,9.9,9.8,0.429,0.381,0.429,0.383,23.3,21.5,22.8,25,61.819,18.819,43,1495.119,1435.019
m_mFW_reg_9__132_/QN,m_mZ_reg_12__82_/D,388.008,1067.76,843.336,802.08,455.328,-265.68,24.4,26,10.1,10.3,0.429,0.381,0.429,0.383,33.2,31.1,34.9,37.5,50.719,12.419,38.3,1515.7,1426.319
m_mFW_reg_1__391_/QN,m_mZ_reg_13__15_/D,431.64,308.52,837.288,767.52,405.648,459,35.4,38.5,10.3,10.5,0.429,0.381,0.429,0.383,24.8,22.7,24.3,26.9,47.019,15.119,31.9,1529.419,1424.219
m_mFW_reg_13__351_/QN,m_mZ_reg_1__104_/D,483.696,1132.56,813.528,619.56,329.832,-513,30.9,34.1,10.6,11,0.429,0.381,0.429,0.383,25.5,23.6,25.4,27.7,65.819,43.319,22.5,1514.3,1472.819
m_mFW_reg_17__331_/QN,m_mZ_reg_11__126_/D,317.376,1113.12,845.712,745.92,528.336,-367.2,27.6,28.9,10.4,10.7,0.429,0.381,0.429,0.383,26.6,24.5,26.5,29.1,36.119,18.919,17.2,1500.719,1457.619
m_mFW_reg_16__143_/QN,m_mZ_reg_7__122_/D,75.672,1134.72,800.136,846.36,724.464,-288.36,30.6,33.4,12.2,11.8,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,24.319,35,1538.719,1454.519
m_mFW_reg_13__351_/QN,m_mZ_reg_10__103_/D,483.696,1132.56,829.944,721.08,346.248,-411.48,27.1,29.3,9.7,9.9,0.429,0.381,0.429,0.383,25.5,23.6,25.4,27.7,65.819,18.719,47.1,1519.5,1441.919
m_mFW_reg_6__854_/QN,m_mZ_reg_0__60_/D,52.992,1034.28,823.464,655.2,770.472,-379.08,36.4,32.6,10.3,10.1,0.429,0.381,0.429,0.383,54.8,52.6,62.9,65.7,64.019,45.619,18.4,1518.219,1463.619
count_val_reg_6_/QN,m_mZ_reg_1__121_/D,740.952,573.12,785.664,672.48,44.712,99.36,28.8,30.4,12.3,12.2,0.429,0.381,0.429,0.383,25.1,22.8,24,27.4,52.919,33.119,19.8,1512.719,1514.219
m_mFW_reg_10__270_/QN,m_mZ_reg_10__82_/D,418.248,771.84,838.584,714.6,420.336,-57.24,28.1,30.4,9.5,9.7,0.429,0.381,0.429,0.383,24,21.8,23.2,25.8,32.019,17.819,14.2,1511.919,1434.819
m_mFW_reg_17__331_/QN,m_mZ_reg_17__126_/D,317.376,1113.12,753.264,620.64,435.888,-492.48,35.2,36.8,10.8,10.8,0.429,0.381,0.429,0.383,26.6,24.5,26.5,29.1,36.119,42.019,-5.9,1515.419,1486.419
m_mFW_reg_0__270_/QN,m_mZ_reg_6__15_/D,395.568,324.72,831.024,820.44,435.456,495.72,28,30.2,10.4,10.5,0.429,0.381,0.429,0.383,25.8,23.7,25.5,28.1,55.319,31.519,23.8,1522.319,1449.719
m_mFW_reg_2__270_/QN,m_mZ_reg_14__15_/D,400.968,325.8,843.336,785.88,442.368,460.08,27.3,28.4,11.2,11.6,0.429,0.381,0.429,0.383,25.1,23,24.6,27.2,55.119,14.319,40.8,1551,1439.019
m_mFW_reg_2__270_/QN,m_mZ_reg_8__15_/D,400.968,325.8,831.024,823.68,430.056,497.88,29,31.9,10.7,10.6,0.429,0.381,0.429,0.383,25.1,23,24.6,27.2,55.119,31.319,23.8,1514.219,1459.319
